COMMUNITY DISTRICT,All Households,Families,FamilyWithKids,FamilyNoKids
Astoria(Q01),79180 ,88662 ,75972 ,92755 
Battery Park/Tribeca(M01),162092 ,230219 ,250001 ,204568 
Bay Ridge(K10),76569 ,89345 ,91935 ,87713 
Bayside(Q11),92682 ,108371 ,120639 ,102316 
Bedford Park(B07),41336 ,47784 ,40863 ,56260 
Bedford Stuyvesant(K03),61186 ,62050 ,45782 ,73065 
Bensonhurst(K11),57139 ,64755 ,59268 ,67307 
Borough Park(K12),55071 ,57904 ,51587 ,62144 
Brownsville(K16),31345 ,40578 ,28585 ,49580 
Bushwick(K04),66275 ,61653 ,56129 ,66280 
Canarsie(K18),80471 ,93207 ,90463 ,93909 
Central Harlem(M10),54932 ,61606 ,51599 ,69025 
Chelsea/Clinton(M04),120248 ,186093 ,155955 ,190740 
Concourse/Highbridge(B04),32559 ,41687 ,36914 ,49117 
Coney Island(K13),40711 ,52000 ,50855 ,52491 
Crown Heights North(K08),74429 ,81329 ,88351 ,76379 
Crown Heights South(K09),66701 ,71983 ,60688 ,78110 
East Flatbush(K17),60895 ,72723 ,67436 ,74895 
East Harlem(M11),32408 ,40114 ,34242 ,50505 
East New York(K05),45991 ,51274 ,46386 ,58357 
East Tremont(B06),23605 ,35295 ,27471 ,42407 
Elmhurst/Corona(Q04),67143 ,67886 ,58182 ,78892 
Flatbush/Midwood(K14),65599 ,78076 ,68911 ,85968 
Flushing(Q07),54933 ,63497 ,62011 ,64190 
Fort Greene/Brooklyn Hts(K02),111546 ,140272 ,190541 ,127884 
Fresh Meadows/Briarwood(Q08),72166 ,85373 ,76256 ,88152 
Greenwich Village(M02),162092 ,230219 ,250001 ,204568 
Howard Beach(Q10),84258 ,94897 ,77002 ,103883 
Hunts Point(B02),25074 ,35196 ,22437 ,43680 
Jackson Heights(Q03),67201 ,66791 ,51864 ,70584 
Jamaica/St. Albans(Q12),65744 ,78138 ,69223 ,82264 
Lower East Side(M03),41302 ,42400 ,38510 ,45183 
Manhattanville(M09),68370 ,88914 ,112317 ,84861 
Midtown Business District(M05),120248 ,186093 ,155955 ,190740 
Morrisania(B03),23605 ,35295 ,27471 ,42407 
Mott Haven(B01),25074 ,35196 ,22437 ,43680 
Murray Hill/Stuyvesant(M06),154501 ,219465 ,247577 ,217813 
Park Slope(K06),155250 ,191442 ,203243 ,178700 
Pelham Parkway(B11),58204 ,67636 ,53222 ,74441 
Queens Village(Q13),94789 ,103586 ,103134 ,103730 
Rego Park/Forest Hills(Q06),89160 ,120120 ,134289 ,105599 
Ridgewood/Glendale(Q05),72781 ,79730 ,75686 ,83002 
Riverdale(B08),61248 ,71037 ,67656 ,74414 
Sheepshead Bay(K15),75127 ,90440 ,80477 ,104165 
South Beach(S02),82089 ,92195 ,81748 ,95935 
St. George(S01),75180 ,100016 ,81392 ,104187 
Sunnyside/Woodside(Q02),80913 ,95035 ,79362 ,105726 
Sunset Park(K07),67871 ,69809 ,58391 ,85443 
The Rockaways(Q14),55034 ,62257 ,60043 ,69755 
Throgs Neck(B10),61029 ,70728 ,61417 ,71236 
Tottenville(S03),108025 ,125123 ,122406 ,126728 
Unionport/Soundview(B09),43975 ,52378 ,41767 ,57920 
University Heights(B05),32025 ,41941 ,38093 ,46311 
Upper East Side(M08),134264 ,225919 ,250001 ,179869 
Upper West Side(M07),136735 ,242446 ,250001 ,236136 
Washington Heights(M12),53507 ,59517 ,51839 ,63179 
Williamsbridge(B12),60228 ,68854 ,55352 ,76192 
Williamsburg/Greenpoint(K01),98284 ,81507 ,74327 ,88784 
Woodhaven(Q09),76978 ,87282 ,91903 ,85907 
