ZIPCODE,All Households,Families,FamilyWithKids,FamilyNoKids
Zip Code 10001,92840,122776,106452,132545
Zip Code 10002,36982,40045,42054,38639
Zip Code 10003,118161,183787,250001,153480
Zip Code 10004,190223,205202,244000,204130
Zip Code 10005,189702,241094,250001,202042
Zip Code 10006,179044,245764,250001,196500
Zip Code 10007,224063,250001,250001,250001
Zip Code 10009,63717,71135,76618,68646
Zip Code 10010,132988,229709,250001,204877
Zip Code 10011,138272,249545,250001,207181
Zip Code 10012,106467,151028,166534,145000
Zip Code 10013,113191,163951,250001,104234
Zip Code 10014,133501,224625,250001,191483
Zip Code 10016,126628,206816,230733,205769
Zip Code 10017,131045,218875,250001,218161
Zip Code 10018,122484,185688,,190417
Zip Code 10019,103792,176972,167896,180424
Zip Code 10021,122169,240453,250001,238064
Zip Code 10022,150718,250001,250001,250001
Zip Code 10023,132605,228389,249033,216875
Zip Code 10024,143623,246034,250001,218864
Zip Code 10025,91624,133439,215882,113859
Zip Code 10026,59691,66157,69625,65399
Zip Code 10027,51938,58680,59837,57456
Zip Code 10028,122969,237537,250001,200524
Zip Code 10029,33720,39845,32484,48020
Zip Code 10030,42348,53586,41500,65152
Zip Code 10031,53660,54699,50643,59748
Zip Code 10032,53525,58919,44799,63411
Zip Code 10033,63093,66075,74659,64422
Zip Code 10034,54406,56284,51677,60904
Zip Code 10035,29799,36645,28300,41685
Zip Code 10036,95301,112342,84337,151719
Zip Code 10037,46263,51536,33839,68094
Zip Code 10038,95702,93156,146473,88095
Zip Code 10039,42278,44253,38400,53777
Zip Code 10040,49677,56530,50405,61463
Zip Code 10044,104808,121453,165431,111228
Zip Code 10065,148441,246005,250001,217072
Zip Code 10069,132500,200150,250001,129701
Zip Code 10075,138640,177237,175724,178698
Zip Code 10128,121829,192940,235861,177072
Zip Code 10280,182760,247627,250001,213482
Zip Code 10282,250001,250001,250001,250001
Zip Code 10301,62052,82267,60223,89521
Zip Code 10302,66096,93750,77853,99420
Zip Code 10303,67215,74187,67266,80817
Zip Code 10304,54199,73135,58781,90167
Zip Code 10305,79742,95406,91282,97097
Zip Code 10306,80834,96131,89390,97884
Zip Code 10307,85103,113839,108073,118715
Zip Code 10308,103027,113498,116021,112661
Zip Code 10309,109457,126350,132473,114768
Zip Code 10310,76075,90379,77165,98788
Zip Code 10312,97407,113327,119989,106667
Zip Code 10314,91505,107154,109945,105450
Zip Code 10451,30349,37332,28590,45956
Zip Code 10452,29579,35155,30744,41150
Zip Code 10453,29136,33760,25919,42783
Zip Code 10454,21447,30076,23561,36085
Zip Code 10455,28585,33920,26502,42637
Zip Code 10456,27917,35269,31099,42260
Zip Code 10457,29767,38096,26999,49338
Zip Code 10458,35423,38624,31754,47544
Zip Code 10459,29284,35536,31228,44762
Zip Code 10460,27545,33282,25665,44649
Zip Code 10461,58305,68066,60313,71779
Zip Code 10462,54278,59538,52707,67672
Zip Code 10463,58408,66470,64616,67402
Zip Code 10464,96366,132596,148594,125915
Zip Code 10465,75617,95996,92754,97953
Zip Code 10466,58393,67912,54786,79009
Zip Code 10467,39372,46530,40961,52038
Zip Code 10468,37804,41488,37437,46462
Zip Code 10469,65399,73973,65407,79935
Zip Code 10470,61266,71506,66393,81667
Zip Code 10471,88722,114241,127000,109429
Zip Code 10472,33498,38655,33327,48573
Zip Code 10473,41508,51096,47887,51921
Zip Code 10474,22965,25429,20114,41220
Zip Code 10475,51951,67383,51838,76474
Zip Code 11001,113300,134087,142500,126994
Zip Code 11004,95436,110406,104965,113256
Zip Code 11005,55313,139313,,139313
Zip Code 11040,129344,142316,172879,123484
Zip Code 11096,60675,67726,57303,69375
Zip Code 11101,75581,82636,71175,85750
Zip Code 11102,71382,75440,70625,76609
Zip Code 11103,76234,81250,65463,87625
Zip Code 11104,67751,76895,62898,86176
Zip Code 11105,79883,90013,89266,90222
Zip Code 11106,68530,78526,60128,84849
Zip Code 11109,160625,199823,199796,200030
Zip Code 11201,129248,176004,212770,153573
Zip Code 11203,54457,68184,52683,74184
Zip Code 11204,53093,58848,55430,61938
Zip Code 11205,58872,60319,52478,76273
Zip Code 11206,39753,38430,31411,43341
Zip Code 11207,39382,51643,41909,60492
Zip Code 11208,42403,50726,42306,58472
Zip Code 11209,77917,101737,105378,99627
Zip Code 11210,69385,80453,77935,80736
Zip Code 11211,81228,63639,51088,80625
Zip Code 11212,26521,41115,31196,48587
Zip Code 11213,44831,51262,45618,61229
Zip Code 11214,56911,64478,59230,70241
Zip Code 11215,132091,170511,198075,149919
Zip Code 11216,67795,79242,90183,76490
Zip Code 11217,119375,145365,174612,122331
Zip Code 11218,73470,80422,76073,83956
Zip Code 11219,40683,41839,37642,52323
Zip Code 11220,50191,47150,39276,55656
Zip Code 11221,56900,61331,57606,63711
